cv_2,6D81,,Hatch,""
cv_4,5F08,,Polyline,""
cv_5,5F09,,Polyline,""
cv_6,5F0A,,2dPolyline,""
cv_7,5F26,,Polyline,""
cv_8,5F27,,2dPolyline,""
cv_9,5F4D,,Polyline,""
cv_10,5F4E,,2dPolyline,""
cv_11,5F8E,,Polyline,""
cv_12,5FB6,,Polyline,""
cv_13,5FB7,,Polyline,""
cv_14,5FB8,,Polyline,""
cv_15,5FB9,,Polyline,""
cv_16,5FBA,,Polyline,""
cv_17,5FBB,,Polyline,""
cv_18,5FBE,,Polyline,""
cv_19,5FBF,,Polyline,""
cv_20,5FC2,,Polyline,""
cv_21,603F,,Polyline,""
cv_22,6043,,Polyline,""
cv_23,6044,,Polyline,""
cv_24,604C,,Polyline,""
cv_25,604D,,Polyline,""
cv_26,604E,,Polyline,""
cv_27,6051,,Polyline,""
cv_28,6052,,Polyline,""
cv_29,6053,,Polyline,""
cv_30,6054,,Polyline,""
cv_31,6058,,Polyline,""
cv_32,605E,,Polyline,""
cv_33,605F,,Polyline,""
cv_34,6060,,Ellipse,""
cv_35,6061,,Spline,""
cv_36,6064,,Polyline,""
cv_37,6065,,Polyline,""
cv_38,6069,,Polyline,""
cv_39,606A,,Spline,""
cv_40,606B,,Ellipse,""
cv_41,606D,,Polyline,""
cv_42,60A7,,Polyline,""
cv_43,60A8,,Polyline,""
cv_44,60A9,,Polyline,""
cv_45,60AA,,Polyline,""
cv_46,60AC,,Polyline,""
cv_47,60AD,,Polyline,""
cv_48,60AE,,Polyline,""
cv_49,60AF,,Polyline,""
cv_50,60B2,,Polyline,""
cv_51,60B3,,Polyline,""
cv_52,60B4,,Polyline,""
cv_53,60BD,,Polyline,""
cv_54,60BE,,Polyline,""
cv_55,60BF,,Polyline,""
cv_56,60C3,,Polyline,""
cv_57,60C5,,Polyline,""
cv_58,60C6,,Polyline,""
cv_59,60C7,,Polyline,""
cv_60,60C8,,Polyline,""
cv_61,60C9,,Polyline,""
cv_62,60CA,,Polyline,""
cv_63,60CB,,Polyline,""
cv_64,60CD,,Polyline,""
cv_65,60CE,,Polyline,""
cv_66,60D0,,Polyline,""
cv_67,60D1,,Polyline,""
cv_68,60D2,,Polyline,""
cv_69,60D5,,Polyline,""
cv_70,60DB,,Polyline,""
cv_71,60E2,,Polyline,""
cv_72,60E4,,Polyline,""
cv_73,60F8,,Polyline,""
cv_74,60F9,,Polyline,""
cv_75,60FA,,Polyline,""
cv_76,6121,,Polyline,""
cv_77,6122,,Polyline,""
cv_78,6123,,Polyline,""
cv_79,6124,,Polyline,""
cv_80,6125,,Polyline,""
cv_81,6126,,Polyline,""
cv_82,6128,,Polyline,""
cv_83,612A,,Polyline,""
cv_84,612B,,Polyline,""
cv_85,612C,,Polyline,""
cv_86,612D,,Polyline,""
cv_87,612E,,Polyline,""
cv_88,612F,,Polyline,""
cv_89,6130,,Polyline,""
cv_90,6131,,Polyline,""
cv_91,6132,,Polyline,""
cv_92,6135,,Polyline,""
cv_93,6136,,Polyline,""
cv_94,6137,,Polyline,""
cv_95,6138,,Polyline,""
cv_96,6139,,Polyline,""
cv_97,613A,,Polyline,""
cv_98,613B,,Polyline,""
cv_99,6147,,Polyline,""
cv_100,6149,,Polyline,""
cv_101,61BF,,Polyline,""
cv_102,61C1,,Polyline,""
cv_103,61C2,,Polyline,""
cv_104,61C6,,Polyline,""
cv_105,61C9,,Polyline,""
cv_106,61CB,,Polyline,""
cv_107,61D3,,Polyline,""
cv_108,61D4,,Polyline,""
cv_109,61D6,,Polyline,""
cv_110,61EF,,Polyline,""
cv_111,61F0,,Polyline,""
cv_112,61F2,,Polyline,""
cv_113,61F4,,Polyline,""
cv_114,61F5,,Polyline,""
cv_115,61F8,,Polyline,""
cv_116,61F9,,Polyline,""
cv_117,61FA,,Polyline,""
cv_118,61FB,,2dPolyline,""
cv_119,6206,,Polyline,""
cv_120,621D,,Polyline,""
cv_121,6221,,Polyline,""
cv_122,6224,,Polyline,""
cv_123,6225,,Polyline,""
cv_124,6228,,Polyline,""
cv_125,622A,,Polyline,""
cv_126,622D,,Polyline,""
cv_127,622E,,Polyline,""
cv_128,6234,,2dPolyline,""
cv_129,623A,,2dPolyline,""
cv_130,6240,,Polyline,""
cv_131,6241,,2dPolyline,""
cv_132,6247,,Polyline,""
cv_133,624B,,Polyline,""
cv_134,624E,,Polyline,""
cv_135,6250,,Polyline,""
cv_136,6253,,Polyline,""
cv_137,6257,,Polyline,""
cv_138,6258,,Polyline,""
cv_139,625E,,Polyline,""
cv_140,625F,,Polyline,""
